company,model_version,model_name,factor_name,factor_group,target,coefficient,standardized_coefficient,coefficient_sign,expected_sign,sign_consistent,correlation_with_target,univariate_r2,ablation_delta_mae,ablation_delta_rmse,ablation_delta_r2,permutation_importance_mean,permutation_importance_std,data_source,data_quality_flag,is_proxy,interpretation,usage_recommendation,analysis_status,explanatory_power_grade
中国铝业,V2.1-C,利润锚Ridge,al_spread_q_mean,商品利润,单季归母净利润(亿元),3.1606148589031045,0.4744833679451793,positive,positive,True,0.4744833679451793,0.2251344664566004,,,,,,SHFE AL/AO,中,False,季度平均铝氧价差,保留并持续审计,ABLATION_AND_PERMUTATION_NOT_COMPUTED_NO_RETRAIN,MEDIUM
中国铝业,V2.1-C,利润锚Ridge,alumina_price_q_mean,成本/氧化铝业务,单季归母净利润(亿元),4.374772378932361,0.12764188033624946,positive,mixed,True,0.12764188033624946,0.016292449615773426,,,,,,SHFE AO,中,False,季度均价氧化铝,保留并持续审计,ABLATION_AND_PERMUTATION_NOT_COMPUTED_NO_RETRAIN,MEDIUM
中国铝业,V2.1-C,利润锚Ridge,demand_score_q_mean,需求,单季归母净利润(亿元),8.533094241834045,0.8089716870563933,positive,positive,True,0.8089716870563933,0.6544351904588672,,,,,,真实PMI/部分真实API+默认代理,低至中,False,综合需求状态,保留并持续审计,ABLATION_AND_PERMUTATION_NOT_COMPUTED_NO_RETRAIN,MEDIUM
中国铝业,V2.1-C,利润锚Ridge,last_announced_q_profit_bn,利润锚,单季归母净利润(亿元),-6.813484351759216,-0.037497131823899084,negative,positive,False,-0.037497131823899084,0.0014060348950188655,,,,,,公告日约束财报,中高,False,最近已公告利润,保留并持续审计,ABLATION_AND_PERMUTATION_NOT_COMPUTED_NO_RETRAIN,UNSTABLE
中国铝业,V2.1-C,利润锚Ridge,ttm_announced_profit_bn,利润锚,单季归母净利润(亿元),-3.276361868859481,0.4867274281912631,negative,positive,False,0.4867274281912631,0.23690358935368117,,,,,,公告日约束财报,中高,False,已公告TTM利润,保留并持续审计,ABLATION_AND_PERMUTATION_NOT_COMPUTED_NO_RETRAIN,UNSTABLE
中国铝业,V2.1-C,利润锚Ridge,last_2q_avg_profit_bn,利润锚,单季归母净利润(亿元),7.647100216518526,0.29579841786245803,positive,positive,True,0.29579841786245803,0.08749670400993333,,,,,,公告日约束财报,中高,False,近两季均值,保留并持续审计,ABLATION_AND_PERMUTATION_NOT_COMPUTED_NO_RETRAIN,MEDIUM
中国铝业,V2.1-C,利润锚Ridge,is_q1,季节性,单季归母净利润(亿元),0.829205502435441,0.36295478272463755,positive,mixed,True,0.36295478272463755,0.13173617430268886,,,,,,日历,高,False,Q1虚拟变量,保留并持续审计,ABLATION_AND_PERMUTATION_NOT_COMPUTED_NO_RETRAIN,MEDIUM
中国铝业,V2.1-C,利润锚Ridge,is_q2,季节性,单季归母净利润(亿元),3.893527190937543,0.15838859324792604,positive,mixed,True,0.15838859324792604,0.02508694647105696,,,,,,日历,高,False,Q2虚拟变量,保留并持续审计,ABLATION_AND_PERMUTATION_NOT_COMPUTED_NO_RETRAIN,MEDIUM
中国铝业,V2.1-C,利润锚Ridge,is_q3,季节性,单季归母净利润(亿元),-0.13603906415579498,-0.1698053100717344,negative,mixed,True,-0.1698053100717344,0.028833843328557866,,,,,,日历,高,False,Q3虚拟变量,保留并持续审计,ABLATION_AND_PERMUTATION_NOT_COMPUTED_NO_RETRAIN,MEDIUM
中国铝业,V2.1-C,利润锚Ridge,is_q4,季节性,单季归母净利润(亿元),-4.586693629217533,-0.35153806590082914,negative,mixed,True,-0.35153806590082914,0.12357901177729569,,,,,,日历,高,False,Q4虚拟变量,保留并持续审计,ABLATION_AND_PERMUTATION_NOT_COMPUTED_NO_RETRAIN,MEDIUM
中国铝业,V2.3,产业链分解,selected_k,动态成本权重,单季归母净利润(亿元),,,zero,mixed,True,,,,,,,,V2.3候选窗口,中,False,训练窗内部选择的氧化铝成本权重,保留并持续审计,ABLATION_AND_PERMUTATION_NOT_COMPUTED_NO_RETRAIN,MEDIUM
中国铝业,V2.3,产业链分解,power_cost_proxy,成本,单季归母净利润(亿元),,,zero,mixed,True,,,,,,,,缺真实电价,低,True,电力成本代理,仅研究用途，优先替换为真实数据,ABLATION_AND_PERMUTATION_NOT_COMPUTED_NO_RETRAIN,PROXY_ONLY
中国铝业,V2.3,产业链分解,anode_cost_proxy,成本,单季归母净利润(亿元),,,zero,mixed,True,,,,,,,,缺真实阳极价格,低,True,阳极成本代理,仅研究用途，优先替换为真实数据,ABLATION_AND_PERMUTATION_NOT_COMPUTED_NO_RETRAIN,PROXY_ONLY
中国铝业,V2.3,产业链分解,primary_al_volume,产量,单季归母净利润(亿元),,,zero,mixed,True,,,,,,,,缺strict数据,低,True,原铝产量,仅研究用途，优先替换为真实数据,ABLATION_AND_PERMUTATION_NOT_COMPUTED_NO_RETRAIN,PROXY_ONLY
中国铝业,V2.3,产业链分解,alumina_external_sales,销量,单季归母净利润(亿元),,,zero,mixed,True,,,,,,,,缺strict数据,低,True,氧化铝外销量,仅研究用途，优先替换为真实数据,ABLATION_AND_PERMUTATION_NOT_COMPUTED_NO_RETRAIN,PROXY_ONLY
紫金矿业,V2 strict,铜金收入Ridge,cu_au_revenue_index,收入,单季归母净利润(亿元),4.96100817674622,0.9676759536837832,positive,positive,True,0.9720748804553031,0.9449295732121918,,,,,,SHFE铜+SGE Au99.99+PDF strict产量,中高,False,铜金价格×strict产量收入环境,保留并持续审计,ABLATION_AND_PERMUTATION_NOT_COMPUTED_NO_RETRAIN,MEDIUM
紫金矿业,V2 strict,铜金收入Ridge,revenue_x_demand,交互,单季归母净利润(亿元),0.6315128791617975,0.01679191417928212,positive,positive,True,0.23045854770276497,0.053111142209267596,,,,,,收入指数+需求分数,低至中,True,收入环境×需求状态,仅研究用途，优先替换为真实数据,ABLATION_AND_PERMUTATION_NOT_COMPUTED_NO_RETRAIN,PROXY_ONLY
紫金矿业,V2 strict,铜金收入Ridge,is_q4,季节性,单季归母净利润(亿元),-15.739643472699834,-0.1492390660735425,negative,mixed,True,-0.09413049175877579,0.008860549478748956,,,,,,日历,高,False,Q4虚拟变量,保留并持续审计,ABLATION_AND_PERMUTATION_NOT_COMPUTED_NO_RETRAIN,MEDIUM
紫金矿业,V2 strict,需求与收入状态,cu_price,价格,单季归母净利润(亿元),,,zero,positive,False,0.9323033001195973,0.8691894434138919,,,,,,SHFE铜,中,False,铜价工业金属景气,保留并持续审计,ABLATION_AND_PERMUTATION_NOT_COMPUTED_NO_RETRAIN,UNSTABLE
紫金矿业,V2 strict,需求与收入状态,au_price_rmb_g,价格,单季归母净利润(亿元),,,zero,positive,False,0.9711720670291439,0.9431751837776601,,,,,,SGE Au99.99,中高,False,金价人民币计价,保留并持续审计,ABLATION_AND_PERMUTATION_NOT_COMPUTED_NO_RETRAIN,UNSTABLE
